67	10	sewing	NOT_STARTED	\N	\N	\N	2026-04-08 09:05:45.755+00	2026-04-08 09:05:45.755+00
68	10	qc	NOT_STARTED	\N	\N	\N	2026-04-08 09:05:45.756+00	2026-04-08 09:05:45.756+00
69	10	warehouse	NOT_STARTED	\N	\N	\N	2026-04-08 09:05:45.757+00	2026-04-08 09:05:45.757+00
70	10	shipping	NOT_STARTED	\N	\N	\N	2026-04-08 09:05:45.763+00	2026-04-08 09:05:45.763+00
71	11	procurement	IN_PROGRESS	2026-04-08 09:36:17.301+00	\N	\N	2026-04-08 09:36:17.302+00	2026-04-08 09:36:17.302+00
72	11	planning	NOT_STARTED	\N	\N	\N	2026-04-08 09:36:17.35+00	2026-04-08 09:36:17.35+00
73	11	cutting	NOT_STARTED	\N	\N	\N	2026-04-08 09:36:17.355+00	2026-04-08 09:36:17.355+00
74	11	sewing	NOT_STARTED	\N	\N	\N	2026-04-08 09:36:17.358+00	2026-04-08 09:36:17.358+00
75	11	qc	NOT_STARTED	\N	\N	\N	2026-04-08 09:36:17.359+00	2026-04-08 09:36:17.359+00
76	11	warehouse	NOT_STARTED	\N	\N	\N	2026-04-08 09:36:17.365+00	2026-04-08 09:36:17.365+00
77	11	shipping	NOT_STARTED	\N	\N	\N	2026-04-08 09:36:17.366+00	2026-04-08 09:36:17.366+00
78	12	procurement	IN_PROGRESS	2026-04-08 09:41:11.166+00	\N	\N	2026-04-08 09:41:11.166+00	2026-04-08 09:41:11.166+00
79	12	planning	NOT_STARTED	\N	\N	\N	2026-04-08 09:41:11.174+00	2026-04-08 09:41:11.174+00
80	12	cutting	NOT_STARTED	\N	\N	\N	2026-04-08 09:41:11.177+00	2026-04-08 09:41:11.177+00
81	12	sewing	NOT_STARTED	\N	\N	\N	2026-04-08 09:41:11.179+00	2026-04-08 09:41:11.179+00
82	12	qc	NOT_STARTED	\N	\N	\N	2026-04-08 09:41:11.182+00	2026-04-08 09:41:11.182+00
83	12	warehouse	NOT_STARTED	\N	\N	\N	2026-04-08 09:41:11.187+00	2026-04-08 09:41:11.187+00
84	12	shipping	NOT_STARTED	\N	\N	\N	2026-04-08 09:41:11.189+00	2026-04-08 09:41:11.189+00
85	13	procurement	IN_PROGRESS	2026-04-08 09:48:44.361+00	\N	\N	2026-04-08 09:48:44.361+00	2026-04-08 09:48:44.361+00
86	13	planning	NOT_STARTED	\N	\N	\N	2026-04-08 09:48:44.363+00	2026-04-08 09:48:44.363+00
87	13	cutting	NOT_STARTED	\N	\N	\N	2026-04-08 09:48:44.364+00	2026-04-08 09:48:44.364+00
88	13	sewing	NOT_STARTED	\N	\N	\N	2026-04-08 09:48:44.367+00	2026-04-08 09:48:44.367+00
