5	1	29	floor_4	300гр.GL№308 Скуба #45(28) Коричневый	48	30	20	partial	2026-04-09	\N	2026-04-09 12:18:31.143+00	2026-04-09 12:20:09.749+00
4	1	29	floor_4	300гр.GL№308 Скуба #45(28) Коричневый	46	30	20	partial	2026-04-09	\N	2026-04-09 12:18:27.842+00	2026-04-09 12:20:10.551+00
3	1	29	floor_4	300гр.GL№308 Скуба #45(28) Коричневый	44	30	20	partial	2026-04-09	\N	2026-04-09 12:18:25.242+00	2026-04-09 12:20:12.947+00
2	1	29	floor_4	300гр.GL№308 Скуба #45(28) Коричневый	42	30	27	partial	2026-04-09	\N	2026-04-09 12:18:20.657+00	2026-04-09 12:20:25.944+00
1	1	29	floor_4	300гр.GL№308 Скуба #45(28) Коричневый	40	30	20	partial	2026-04-09	\N	2026-04-09 12:18:15.847+00	2026-04-09 12:20:46.364+00
\.


